,Date,Open,Close,High,Low,Volume
67,2018-12-18,165.38,166.07,167.53,164.39,33841518
68,2018-12-19,166.0,160.89,167.45,159.09,49047297
69,2018-12-20,160.4,156.83,162.11,155.3,64772960
70,2018-12-21,156.86,150.73,158.16,149.63,95744384
71,2018-12-24,148.15,146.83,151.55,146.59,37169232
72,2018-12-26,148.3,157.17,157.23,146.72,58582544
73,2018-12-27,155.84,156.15,156.77,150.07,53117065
74,2018-12-28,157.5,156.23,158.52,154.55,42291424
75,2018-12-31,158.53,157.74,159.36,156.48,35003466
76,2019-01-02,154.89,157.92,158.85,154.23,37039737
77,2019-01-03,143.98,142.19,145.72,142.0,91312195
78,2019-01-04,144.53,148.26,148.55,143.8,58607070
79,2019-01-07,148.7,147.93,148.83,145.9,54777764
80,2019-01-08,149.56,150.75,151.82,148.52,41025314
81,2019-01-09,151.29,153.31,154.53,149.63,45099081
82,2019-01-10,152.5,153.8,153.97,150.86,35780670
83,2019-01-11,152.88,152.29,153.7,151.51,27023241
84,2019-01-14,150.85,150.0,151.27,149.22,32439186
85,2019-01-15,150.27,153.07,153.39,150.05,28710324
86,2019-01-16,153.08,154.94,155.88,153.0,30569706
87,2019-01-17,154.2,155.86,157.66,153.26,29821160
88,2019-01-18,157.5,156.82,157.88,155.98,33751023
89,2019-01-22,156.41,153.3,156.73,152.62,30393970
90,2019-01-23,154.15,153.92,155.14,151.7,23130570
91,2019-01-24,154.11,152.7,154.48,151.74,25441549
92,2019-01-25,155.48,157.76,158.13,154.32,33547893
93,2019-01-28,155.79,156.3,156.33,153.66,26192058
94,2019-01-29,156.25,154.68,158.13,154.11,41587239
95,2019-01-30,163.25,165.25,166.15,160.23,61109780
96,2019-01-31,166.11,166.44,169.0,164.56,40739649
97,2019-02-01,166.96,166.52,168.98,165.93,32668138
98,2019-02-04,167.41,171.25,171.66,167.28,31495582
99,2019-02-05,172.86,174.18,175.08,172.35,36101628
100,2019-02-06,174.65,174.24,175.57,172.85,28239591
101,2019-02-07,172.4,170.94,173.94,170.34,31741690
102,2019-02-08,168.99,170.41,170.66,168.42,23819966
103,2019-02-11,171.05,169.43,171.21,169.25,20993425
104,2019-02-12,170.1,170.89,171.0,169.7,22283523
105,2019-02-13,171.39,170.18,172.48,169.92,22490233
106,2019-02-14,169.71,170.8,171.26,169.38,21835747
